,release_date,movie,worldwide,India_hindi_net,india_gross,overseas,budget,verdict
0,22-12-2023,Salaar: Cease Fire - Part 1,617.75,152.65,487.75,130,200,
1,21-12-2023,Aquaman and the Lost Kingdom,3595,3.59,30.25,2570,1,
2,21-12-2023,Dunki,454,227,272,182,1,Hit
3,07-12-2023,Hi Nanna,76.35,0.11,57.85,18.5,1,
4,01-12-2023,Sam Bahadur,130.3,93.95,111.8,18.5,1,Hit
5,01-12-2023,Animal,915,502.98,660,255,200,All Time Blockbuster
6,24-11-2023,Anaari is Back,,0.31,,,1,Disaster
7,24-11-2023,Napoleon,655,1.54,6.75,385,1,
8,24-11-2023,Farrey,3.2,2.68,3.2,0,1,
9,17-11-2023,Khichdi 2,5.25,5.9,5.25,0,1,
10,12-11-2023,Tiger 3,464,276.62,339.5,124.5,300,Hit
11,10-11-2023,The Marvels,1050,3.87,14.35,575,1,
12,10-11-2023,Jigarthanda Double X,64.55,0.02,52.25,12.3,1,
13,03-11-2023,UT 69,0.12,0.49,0.12,0,1,
14,03-11-2023,Aankh Micholi,2.4,2,2.4,0,1,
15,27-10-2023,Sajini Shinde Ka Viral Video,0.8,0.65,0.8,0,1,Disaster
16,27-10-2023,12th Fail,70.05,56.24,66.55,3.5,1,SuperHit
17,27-10-2023,Tejas,8.05,6.2,7.3,0.75,1,Disaster
18,20-10-2023,Yaariyan 2,3.5,2.75,3.25,0.25,1,
19,20-10-2023,Tiger Nageswara Rao,49,2.02,44.5,4.5,1,
20,20-10-2023,Ganapath - A Hero Is Born,18,13.02,15.5,2.5,1,Disaster
21,19-10-2023,Leo,605.9,27.17,401.9,204,1,SuperHit
22,06-10-2023,The Exorcist: Believer,930,1.73,6,924,1,Disaster
23,06-10-2023,Thank You For Coming,9.6,6.87,8,1.6,1,
24,06-10-2023,Dono,1.1,0.95,1.1,0,1,
25,06-10-2023,Mission Raniganj,46,34.17,40.4,5.6,1,
26,28-09-2023,Chandramukhi 2,54.1,0.81,46.1,8,1,
27,28-09-2023,Skanda,53,0.31,48.75,4.25,1,
28,28-09-2023,Fukrey 3,127.75,95.95,113.25,14.5,1,Hit
29,28-09-2023,The Vaccine War,14.7,10.33,12.2,2.5,1,
30,22-09-2023,Sukhee,2.2,1.84,2.2,0,1,
31,22-09-2023,The Great Indian Family,6.1,5.17,6.1,0,1,
32,22-09-2023,Expend4bles,295,1.37,5.2,289.8,1,
33,07-09-2023,The Nun 2,2150,16.8,54.6,1440,1,Hit
34,07-09-2023,Jawan,1160,582.31,760,400,300,All Time Blockbuster
35,25-08-2023,Akelli,1.2,0.9,1.05,0.15,1,
36,25-08-2023,Dream Girl 2,142.2,106.71,126,16.2,60,Hit
37,18-08-2023,Ghoomer,7.15,4.97,5.9,1.25,1,Disaster
38,18-08-2023,Blue Beetle,500,1.95,8.2,225,1,
39,11-08-2023,OMG 2,221.75,151.16,178.75,43,70,SuperHit
40,11-08-2023,Gadar 2,686,525.7,620.5,65.5,75,All Time Blockbuster
41,10-08-2023,Jailer,604.5,7.24,408.5,196,200,
42,03-08-2023,Meg 2: The Trench,2680,6.3,23.1,2080,1,
43,28-07-2023,Rocky Aur Rani Ki Prem Kahani,357.5,153.55,182.5,175,170,Hit
44,21-07-2023,Ajmer 92,2.15,1.8,2.15,0,1,
45,21-07-2023,Oppenheimer,7925,13.11,157.5,5210,1,Hit
46,12-07-2023,Mission Impossible – Dead Reckoning Part One,4725,33.89,131.25,3290,1,Hit
47,07-07-2023,72 Hoorain,1.5,1.61,1.5,0,1,
48,07-07-2023,Neeyat,6.9,5.79,6.9,0,1,
49,06-07-2023,Insidious: The Red Door,1060,6.43,21.4,535,1,
50,29-06-2023,Spy,21,0.54,17.5,3.5,1,
51,29-06-2023,Indiana Jones and the Dial of Destiny,,2.85,,,1,
52,29-06-2023,Satyaprem Ki Katha,118.5,77.04,92.5,26,1,Hit
53,23-06-2023,1920: Horrors of the Heart,17.35,13.02,16.85,0.5,1,
54,16-06-2023,Adipurush,393,147.92,343,50,500,Flop
55,15-06-2023,The Flash,2220,7.14,35.5,1330,1,
56,08-06-2023,Transformers: Rise of the Beast,2400,9,33.2,1450,1,
57,02-06-2023,Zara Hatke Zara Bachke,116,88.35,104.7,11.3,1,SuperHit
58,01-06-2023,Spider-Man: Across the Spider-Verse,5650,10.12,53.8,2510,1,
59,26-05-2023,Jogira Sara Ra Ra,0.95,1.93,0.95,0,1,
60,18-05-2023,Fast X,5800,53.11,131.7,4600,1,SuperHit
61,12-05-2023,IB 71,29.7,23.1,27.5,2.2,1,Average
62,12-05-2023,Chatrapathi (Hindi),1.95,2.53,1.95,0,1,Disaster
63,05-05-2023,Afwaah,0.11,0.1,0.11,0,1,
64,05-05-2023,Ramabanam,8.3,0.01,8,0.3,1,
65,05-05-2023,Guardians of the Galaxy Vol. 3,6550,19.49,72.1,3800,1,
66,05-05-2023,The Kerala Story,302,239.05,286.5,15.5,15,All Time Blockbuster
67,05-05-2023,2018,180.03,0.26,110.53,69.5,1,
68,28-04-2023,Sisu,,0.01,,,1,
69,28-04-2023,Bad Boy,,0.31,,,1,Disaster
70,28-04-2023,Ponniyin Selvan - Part 2,344.63,16.24,214.63,130,1,
71,21-04-2023,Virupaksha,89.8,0.27,75.8,14,25,
72,21-04-2023,Suzume,2130,0.07,0.5,1225,1,
73,21-04-2023,Chengiz,6.25,1.34,6.25,0,10,Disaster
74,21-04-2023,Kisi Ka Bhai Kisi Ki Jaan,184.6,110.94,132,52.6,100,Below Average
75,14-04-2023,Shaakuntalam,11,1.22,8.6,2.4,60,
76,14-04-2023,Chhipkali,,0.03,,,1,
77,14-04-2023,Pinky Beauty Parlour,,0.03,,,1,
78,14-04-2023,Sir Madam Sarpanch,,0.02,,,1,
79,07-04-2023,"August 16, 1947",,0.2,,,1,
80,07-04-2023,The Super Mario Bros. Movie,4000,1.69,5.95,1950,1,
81,07-04-2023,Gumraah,9.1,7.74,8.3,0.8,25,Flop
82,30-03-2023,Dasara,118.5,4.67,96.5,22,65,
83,30-03-2023,Bholaa,123,90.31,108,15,100,Average
84,24-03-2023,John Wick: Chapter 4,3050,10.55,61,1635,900,Hit
85,24-03-2023,Bheed,2.1,2.26,2.1,0,1,
86,17-03-2023,Shazam! Fury Of The Gods,1100,4.2,19.8,620,900,
87,17-03-2023,Mrs Chatterjee Vs Norway,38.3,23.07,27.3,11,20,Above Average
88,17-03-2023,Zwigato,1.25,2.1,1.25,0,1,
89,17-03-2023,Kabzaa,34.5,4.01,32.65,1.85,1,
90,08-03-2023,Tu Jhoothi Main Makkar,223,147.28,175,48,70,Hit
91,24-02-2023,Selfiee,24.6,17.03,20.1,4.5,100,Disaster
92,17-02-2023,Ant-Man and the Wasp: Quantumania,3890,13.82,55,2155,1500,Below Average
93,17-02-2023,Shehzada,47.8,32.02,37.8,10,65,
94,03-02-2023,Michael,10.3,0.22,8.7,1.6,1,
95,26-01-2023,Gandhi Godse Ek Yudh,,2.37,,,1,
96,25-01-2023,Pathaan,1055,524.53,657.5,397.5,250,All Time Blockbuster
97,20-01-2023,Akhanda (Hindi),,0.4,,,1,
98,13-01-2023,Kuttey,8.47,5.91,6.97,1.5,50,
99,13-01-2023,Waltair Veerayya,219,1.38,190,29,140,
100,11-01-2023,Varisu,297.55,7.92,208.55,89,200,
101,23-12-2022,Cirkus,60.6,38.64,45.6,15,70,Flop
102,16-12-2022,Avatar: The Way of Water,17380,127.77,477.5,16902.5,3200,Blockbuster
103,09-12-2022,Salaam Venky,3.36,2.42,2.86,0.5,15,
104,09-12-2022,Maarrich,,0.2,0.24,,1,
105,02-12-2022,An Action Hero,16.85,11.3,13.35,3.5,30,Flop
106,25-11-2022,Bhediya,94.91,68.67,81.41,13.5,60,Average
107,18-11-2022,Drishyam 2,342.31,239.67,282.81,59.5,50,Blockbuster
108,11-11-2022,Black Panther: Wakanda Forever,6634,21.59,87.24,6546.76,1250,Hit
109,11-11-2022,Uunchai,48.32,32.9,38.82,9.5,45,Hit
110,11-11-2022,Yashoda,32.13,0.8,23.63,8.5,30,
111,04-11-2022,Phone Bhoot,17.62,12.81,15.12,2.5,25,
112,04-11-2022,Mili,3.82,2.82,3.32,0.5,10,
113,25-10-2022,Har Har Mahadev,8.65,0.07,11.51,0,1,
114,25-10-2022,Ram Setu,96.74,74.63,89.24,7.5,150,Below Average
115,25-10-2022,Thank God,48.99,36.35,42.49,6.5,70,Flop
116,21-10-2022,Ginna,0.24,0.019,0.42,0.01,1,
117,20-10-2022,Black Adam,2985,21.85,57.52,2927.48,1500,
118,14-10-2022,Code Name: Tiranga,1.07,0.74,0.87,0.2,1,
119,14-10-2022,Doctor G,44.01,27.98,33.01,11,25,
120,07-10-2022,Goodbye,10.55,6.82,8.05,2.5,25,Flop
121,05-10-2022,Godfather,107,8.46,87,20,100,Average
122,30-09-2022,Kantara,407.82,84.77,363.82,44,16,Blockbuster
123,30-09-2022,Vikram Vedha,135.44,78.9,93.1,42.34,150,Below Average
124,30-09-2022,Ponniyin Selvan - Part 1,488.36,22.91,313.36,175,250,Hit
125,23-09-2022,Dhokha: Round D Corner,4.4,3.25,3.7,0.7,20,
126,23-09-2022,Chup,19,11.6,13.7,5.3,25,Flop
127,23-09-2022,Prem Geet 3,4.84,0.92,1.12,3.72,1,Disaster
128,09-09-2022,Brahmastra Part One: Shiva,431,247.37,315.5,115.5,350,Hit
129,25-08-2022,Liger,56.18,18.55,48.58,7.6,125,Flop
130,19-08-2022,Dobaaraa,1.1,4.79,5.65,0.15,1,
131,13-08-2022,Karthikeya 2,117.87,31.35,102.37,15.5,15,Blockbuster
132,11-08-2022,Raksha Bandhan,68.38,48.63,57.38,11,70,Below Average
133,11-08-2022,Laal Singh Chaddha,133.5,61.12,72.5,61,180,Disaster
134,05-08-2022,Sita Ramam,94.28,8.23,77.28,17,25,
135,05-08-2022,DC League of Super-Pets,,0.56,2.89,,1,
136,04-08-2022,Bullet Train,0.85,0.89,4.12,0.85,1,
